window_size,stdv,alt_min,received_alg,similarity
5,1.25,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
5,1.25,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
5,1.25,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
5,1.25,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
5,1.5,50, D' U U U U D D D D R R R R L L L L F F F F B B B B,96
5,1.5,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
5,1.5,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
5,1.5,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
5,1.5,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
5,1.5,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
5,1.75,50, U U U U D D D D R R R R L L L L F F F F B B B B,99
5,1.75,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
5,1.75,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
5,1.75,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
5,1.75,450, U U U D D D D R R R R L L L L F F F F B B B B,99
5,1.75,550, U U U D D D D R R R R L L L L F F F F B B B B,99
5,2.0,50, U U U U D D D D R R R R L L L L F F F F B B B B,99
5,2.0,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
5,2.0,250, U U U D D D D R R R R L L L L F F F F B B B B,99
5,2.0,350, U U U D D D D R R R R L L L L F F F F B B B B,99
5,2.0,450, U U U D D D D R R R R L L L L F F F F B B B B,99
5,2.0,550, U U U D D D D R R R R L L L L F F F F B B B B,99
5,2.25,50, U U U D D D D R R R R L L L L F F F F B B B B,99
5,2.25,150, U U U D D D D R R R R L L L L F F F F B B B B,99
5,2.25,250, U U U D D D D R R R R L L L L F F F F B B B B,99
5,2.25,350, U U U D D D D R R R R L L L L F F F F B B B B,99
5,2.25,450, U U U D D D D R R R R L L L L F F F F B B B B,99
5,2.25,550, U U U D D D D R R R R L L L L F F F F B B B B,99
5,2.5,50, U U U D D D D R R R R L L L L F F F F B B B B,99
5,2.5,150, U U U D D D D R R R R L L L L F F F F B B B B,99
5,2.5,250, U U U D D D D R R R R L L L L F F F F B B B B,99
5,2.5,350, U U U D D D D R R R R L L L L F F F F B B B B,99
5,2.5,450, U U U D D D D R R R R L L L L F F F F B B B B,99
5,2.5,550, U U U D D D D R R R R L L L L F F F F B B B B,99
5,2.75,50, U U U D D D D R R R R L L L L F F F F B B B B,99
5,2.75,150, U U U D D D D R R R R L L L L F F F F B B B B,99
5,2.75,250, U U U D D D D R R R R L L L L F F F F B B B B,99
5,2.75,350, U U U D D D D R R R R L L L L F F F F B B B B,99
5,2.75,450, U U U D D D D R R R R L L L L F F F F B B B B,99
5,2.75,550, U U U D D D D R R R R L L L L F F F F B B B B,99
5,3.0,50, U U U D D D D R R R R L L L L F F F F B B B B,99
5,3.0,150, U U U D D D D R R R R L L L L F F F F B B B B,99
5,3.0,250, U U U D D D D R R R R L L L L F F F F B B B B,99
5,3.0,350, U U U D D D D R R R R L L L L F F F F B B B B,99
5,3.0,450, U U U D D D D R R R R L L L L F F F F B B B B,99
5,3.0,550, U U U D D D D R R R R L L L L F F F F B B B B,99
6,0.25,50, U' D' U U U U D D D D R R R R L L L L F F F F B B B B,93
6,0.25,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
6,0.25,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
6,0.25,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
6,0.25,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
6,0.25,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
